Date,Region,Weather_Score,Average_Severity
2016-04-21,West Coast,0.3655106550604324,2.4166666666666665
2016-04-21,West Coast,0.5046307319223979,2.125
2016-04-21,New England,0.4923176320642147,3.0
2016-04-21,Mid West,0.5063411490357892,3.0
2016-04-21,Mid Atlantic,0.435484422492401,2.25
2016-04-21,Mid Atlantic,0.3961814819457126,2.0
2016-04-22,West Coast,0.4307518030002434,2.448717948717949
2016-04-22,West Coast,0.4915279054128599,2.5625
2016-04-22,West Coast,0.4298529308110264,2.0
2016-04-22,Mid Atlantic,0.4191469823922696,2.6666666666666665
2016-04-22,Mid Atlantic,0.3850263037157735,2.0
2016-04-23,West Coast,0.4777849378798948,2.0
2016-04-23,West Coast,0.4418053026520904,3.0
2016-04-23,Mid Atlantic,0.5002089847957351,3.0
