City,Date,Score
Albuquerque,2016-01-13,0.4305704917783843
Denver,2016-01-13,0.3464146842958931
San Antonio,2016-01-13,0.42908918453071687
Dallas,2016-01-13,0.4597923319087496
Houston,2016-01-13,0.4370809706982196
Kansas City,2016-01-13,0.40294491783764946
Minneapolis,2016-01-13,0.4796203143879778
Chicago,2016-01-13,0.43316831693657476
Nashville,2016-01-13,0.4512830306865764
Indianapolis,2016-01-13,0.4122038670388159
Atlanta,2016-01-13,0.44604874768831165
Detroit,2016-01-13,0.540163949467862
Jacksonville,2016-01-13,0.41620769925949547
Charlotte,2016-01-13,0.5063140097957949
Miami,2016-01-13,0.3369133881403162
Pittsburgh,2016-01-13,0.5106696321281206
Philadelphia,2016-01-13,0.4337760499048455
New York,2016-01-13,0.445828506716386
Boston,2016-01-13,0.48709418531698645
Vancouver,2016-01-14,0.5994350972160122
Portland,2016-01-14,0.4574845089574454
San Francisco,2016-01-14,0.5342592733881025
Seattle,2016-01-14,0.5570102776456685
Los Angeles,2016-01-14,0.49118676093178415
San Diego,2016-01-14,0.4348417163972368
Las Vegas,2016-01-14,0.4876262504787771
Phoenix,2016-01-14,0.42328501916153893
Albuquerque,2016-01-14,0.5442486841198843
Denver,2016-01-14,0.5535153394135479
San Antonio,2016-01-14,0.4563587492045318
Dallas,2016-01-14,0.44479677817939756
Houston,2016-01-14,0.5472880152801527
Kansas City,2016-01-14,0.4469200078830762
Minneapolis,2016-01-14,0.40978126013067756
Chicago,2016-01-14,0.3872891982468309
Nashville,2016-01-14,0.4143411118830043
Indianapolis,2016-01-14,0.44277012498217116
Atlanta,2016-01-14,0.4799880132156409
Detroit,2016-01-14,0.4763875863308581
Jacksonville,2016-01-14,0.4791349746762581
Charlotte,2016-01-14,0.439092701548866
Miami,2016-01-14,0.49090214630692786
Pittsburgh,2016-01-14,0.4516841670827809
Philadelphia,2016-01-14,0.4552615388993069
New York,2016-01-14,0.3619702979329401
Boston,2016-01-14,0.4359929449781656
Vancouver,2016-01-15,0.5385660982107816
Portland,2016-01-15,0.5356384880088895
San Francisco,2016-01-15,0.5102762031431811
Seattle,2016-01-15,0.46942989041438776
Los Angeles,2016-01-15,0.5575700479742005
San Diego,2016-01-15,0.5854750453399791
Las Vegas,2016-01-15,0.48028879791550455
Phoenix,2016-01-15,0.5458896126571962
Albuquerque,2016-01-15,0.45411835452562493
Denver,2016-01-15,0.46980381080149347
San Antonio,2016-01-15,0.5156316062851211
Dallas,2016-01-15,0.4678559866169624
Houston,2016-01-15,0.47527167731950376
Kansas City,2016-01-15,0.4984703862683898
Minneapolis,2016-01-15,0.4763067453958396
Chicago,2016-01-15,0.5371277828059164
Nashville,2016-01-15,0.4708240736733589
Indianapolis,2016-01-15,0.4620043313048887
Atlanta,2016-01-15,0.4569976029395022
Detroit,2016-01-15,0.5720046797440402
Jacksonville,2016-01-15,0.4694358153345791
Charlotte,2016-01-15,0.4584143303000578
Miami,2016-01-15,0.5436271472252494
Pittsburgh,2016-01-15,0.5025140127552791
Philadelphia,2016-01-15,0.45083866853775645
New York,2016-01-15,0.5069718266782501
Boston,2016-01-15,0.444797817400032
Vancouver,2016-01-16,0.5648592359641151
Portland,2016-01-16,0.4381684185943581
San Francisco,2016-01-16,0.5529901289042374
Seattle,2016-01-16,0.4553382618638851
Los Angeles,2016-01-16,0.48913306410509727
San Diego,2016-01-16,0.4480084734359321
Las Vegas,2016-01-16,0.45970375740371905
Phoenix,2016-01-16,0.5728683682282997
Albuquerque,2016-01-16,0.5039917684104793
Denver,2016-01-16,0.5140540666910055
San Antonio,2016-01-16,0.42244497421852645
Dallas,2016-01-16,0.38947433207032045
Houston,2016-01-16,0.41667938857057063
Kansas City,2016-01-16,0.5480950672365013
Minneapolis,2016-01-16,0.5264855182628799
Chicago,2016-01-16,0.5100975174821534
Nashville,2016-01-16,0.42286640042242374
Indianapolis,2016-01-16,0.3541670006173897
Atlanta,2016-01-16,0.6231848403235278
Detroit,2016-01-16,0.5665159393880118
Jacksonville,2016-01-16,0.5628252252461674
Charlotte,2016-01-16,0.5649776114258906
Miami,2016-01-16,0.4869119748817162
Pittsburgh,2016-01-16,0.5105272290595404
Philadelphia,2016-01-16,0.4839435359929405
New York,2016-01-16,0.4175617297179699
Boston,2016-01-16,0.4905052982742465
Vancouver,2016-01-17,0.5977129154508288
Portland,2016-01-17,0.43377534055189554
San Francisco,2016-01-17,0.5551264430373221
Seattle,2016-01-17,0.49555922120730417
Los Angeles,2016-01-17,0.4183084680748251
San Diego,2016-01-17,0.47341880749258014
Las Vegas,2016-01-17,0.41864199189177587
Phoenix,2016-01-17,0.5095442864131373
Albuquerque,2016-01-17,0.45341443605448156
Denver,2016-01-17,0.38304717351085976
San Antonio,2016-01-17,0.3720523743370735
Dallas,2016-01-17,0.4563050256985002
Houston,2016-01-17,0.5826986173871717
Kansas City,2016-01-17,0.3973385056260115
Minneapolis,2016-01-17,0.5275477128106385
Chicago,2016-01-17,0.4215139653088592
Nashville,2016-01-17,0.46783513094837037
Indianapolis,2016-01-17,0.5250697952849966
Atlanta,2016-01-17,0.48261431392491466
Detroit,2016-01-17,0.4154225643379723
Jacksonville,2016-01-17,0.5509019113214102
Charlotte,2016-01-17,0.4988648917880514
Miami,2016-01-17,0.4996415407839668
Pittsburgh,2016-01-17,0.3669503857755884
Philadelphia,2016-01-17,0.4682597084668215
New York,2016-01-17,0.4457940847677063
Boston,2016-01-17,0.5833124680465963
Vancouver,2016-01-18,0.4840333746037456
Portland,2016-01-18,0.43799751963105504
San Francisco,2016-01-18,0.5474323592039236
Seattle,2016-01-18,0.5503299263168976
Los Angeles,2016-01-18,0.49954530111814904
San Diego,2016-01-18,0.5212013144592245
Las Vegas,2016-01-18,0.4911412380975091
Phoenix,2016-01-18,0.44120338563116684
Albuquerque,2016-01-18,0.4320507800502776
Denver,2016-01-18,0.3469961073927735
San Antonio,2016-01-18,0.4551821335865959
Dallas,2016-01-18,0.44700304591145296
Houston,2016-01-18,0.4298247175656341
Kansas City,2016-01-18,0.39407556818998407
Minneapolis,2016-01-18,0.5398935992986253
Chicago,2016-01-18,0.48293267405658824
Nashville,2016-01-18,0.4072539440201132
Indianapolis,2016-01-18,0.5499485680885159
Atlanta,2016-01-18,0.44964737341324246
Detroit,2016-01-18,0.48382087153392794
Jacksonville,2016-01-18,0.48707633267070044
Charlotte,2016-01-18,0.47790484176676984
Miami,2016-01-18,0.51110659725551
Pittsburgh,2016-01-18,0.36989034591687847
Philadelphia,2016-01-18,0.4383272236484965
New York,2016-01-18,0.5496060062526569
Boston,2016-01-18,0.4738299541922719
Vancouver,2016-01-19,0.59406791425419
Portland,2016-01-19,0.4177114258680692
San Francisco,2016-01-19,0.5361851403274684
Seattle,2016-01-19,0.5226666826749607
Los Angeles,2016-01-19,0.5310431353600658
San Diego,2016-01-19,0.5267200836665367
Las Vegas,2016-01-19,0.4939035044933477
Phoenix,2016-01-19,0.5122032368255244
Albuquerque,2016-01-19,0.5839563922467512
Denver,2016-01-19,0.38510940735473725
San Antonio,2016-01-19,0.47412897978613505
Dallas,2016-01-19,0.42169208149941473
Houston,2016-01-19,0.51268946875206
Kansas City,2016-01-19,0.505727339933971
Minneapolis,2016-01-19,0.44268175056842646
Chicago,2016-01-19,0.38536655014368554
Nashville,2016-01-19,0.44458245249170425
Indianapolis,2016-01-19,0.4528021089914813
Atlanta,2016-01-19,0.4046069127288483
Detroit,2016-01-19,0.49604906470068
Jacksonville,2016-01-19,0.5149885045921214
Charlotte,2016-01-19,0.48655924799833095
Miami,2016-01-19,0.40803783018443246
Pittsburgh,2016-01-19,0.35420110716295145
Philadelphia,2016-01-19,0.47467692727936217
New York,2016-01-19,0.44369745612972455
Boston,2016-01-19,0.37233372022048783
Vancouver,2016-01-20,0.5894637369591452
Portland,2016-01-20,0.5362944471347246
San Francisco,2016-01-20,0.5460331111421323
Seattle,2016-01-20,0.40373371492701166
Los Angeles,2016-01-20,0.49339810795245653
San Diego,2016-01-20,0.5592790840790722
Las Vegas,2016-01-20,0.4635295379704612
Phoenix,2016-01-20,0.509533532909194
Albuquerque,2016-01-20,0.4363646653835101
Denver,2016-01-20,0.4587638932200762
